,id,fdid,state,name,res_structure_fire_count,geom_id,source
236,90765,15M04,WA,Oak Harbor Fire Department,197,9435,incorporatedplace
237,96998,CS883,IL,Tinley Park Fire Department,197,8348,incorporatedplace
238,82920,13D05,WA,Grant County Fire Protection District #5,195,38030,minorcivildivision
239,83985,30025,NY,Hempstead Fire Department,195,18623,incorporatedplace
240,87530,20010,CA,Madera City Fire Department,195,35565,minorcivildivision
241,75254,06307,MI,Bloomfield Township Fire Department,194,7039,minorcivildivision
242,75449,01001,MO,Boone County Fire Protection District,194,33433,minorcivildivision
243,100004,15901,GA,Worth County Fire & Rescue,193,6269,incorporatedplace
244,95879,48113,OH,Springfield Township Fire Department,193,25829,minorcivildivision
245,99056,25911,AK,West Lakes Fire Department,193,4110,unincorporatedplace
246,89661,53035,LA,Natalbany Volunteer Fire Department,192,248,unincorporatedplace
247,88370,61751,TN,Meigs County Emergency Services Fire/Rescue,192,38562,minorcivildivision
248,92471,05M03,WA,Port Angeles Fire Department,191,11512,incorporatedplace
249,91017,RB142,IL,Olney Fire Department,191,5154,incorporatedplace
250,82008,06900,VA,Frederick County Fire and Rescue,190,2417,countyorequivalent
251,99386,62112,MN,White Bear Lake Fire Department,190,6079,minorcivildivision
252,87512,05009,MI,Macomb Township Fire Department Station 1,190,8647,minorcivildivision
253,75957,38213,TN,Brownsville/ Haywood County Fire Department,188,47043,minorcivildivision
254,80830,05301,GA,Emanuel County Rural Fire Department,187,7372,incorporatedplace
255,95921,03602,MO,St. Clair Fire Protection District,187,18150,incorporatedplace
256,84418,04203,SC,Homeland Park Fire Department,186,683,unincorporatedplace
257,76560,08204,MI,Canton Fire Department,186,5947,minorcivildivision
258,79676,33030,CA,Desert Hot Springs Fire Service,186,8204,incorporatedplace
259,95799,32D09,WA,Spokane County Fire District 9,185,9343,unincorporatedplace
260,96712,26007,MS,Tchula Volunteer Fire Department,185,2421,incorporatedplace
261,77954,11001,MS,Clairborne County Fire Department,185,2748,incorporatedplace
262,84069,22048,PA,Hershey Volunteer Fire Department,184,2939,unincorporatedplace
263,78129,39302,SC,Clemson University Fire & EMS,184,17258,minorcivildivision
264,83901,08002,GA,Hazlehurst/ Jeff Davis County Fire-Rescue,183,7591,incorporatedplace
265,90356,27025,CA,North County Fire Protection District of Monterey County,183,785,unincorporatedplace
266,81482,08001,MO,Fire District #1 Of Pettis County,183,35172,minorcivildivision
267,99743,C5180,ME,Windham Fire-Rescue,183,2268,unincorporatedplace
268,95833,02616,NC,Spring Lake Fire Department,183,18380,incorporatedplace
269,94918,KA450,TX,Sheldon Community Fire & Rescue,182,46498,minorcivildivision
270,80052,04306,NC,Dunn Emergency Services  Inc.,182,15017,incorporatedplace
271,92434,53040,LA,Ponchatoula Volunteer Fire Department,182,3403,incorporatedplace
272,83790,19306,MN,Hastings Fire Department,182,33614,minorcivildivision
273,78229,16025,MD,Clinton Volunteer Fire Department (Prince Georges County Fire Department),181,5689,unincorporatedplace
274,79388,26066,LA,David Crockett Steam Fire Company #1,181,1917,incorporatedplace
275,86905,VS507,TX,Lindale Fire Department,181,15483,incorporatedplace
276,74434,32301,AR,Batesville Fire Department,180,7507,incorporatedplace
277,84047,0159,OR,Hermiston Fire & Emergency Services,180,11249,incorporatedplace
278,93581,SP611,TX,Robstown Fire Department,180,45779,minorcivildivision
279,78055,71002,IN,Clay Fire Territory,179,14724,minorcivildivision
280,93501,CS782,IL,Riverdale Fire Department,179,6132,incorporatedplace
281,85598,03502,MO,Kennett Fire Department,179,17058,incorporatedplace
282,90569,27216,MA,Northbridge Fire Department,178,7457,unincorporatedplace
283,86508,HA612,TX,League City Volunteer Fire Department,178,13185,incorporatedplace
284,82616,DD272,IL,Glenside Fire Protection District,178,6755,incorporatedplace
285,98474,06301,AR,Warren Fire Department,178,6097,incorporatedplace
286,88936,0233,OR,Molalla Rural Fire Protection District 73,178,13105,incorporatedplace
287,80531,KN604,TX,Edinburg Volunteer Fire Department,178,12017,incorporatedplace
288,96096,0355,OR,Stayton Rural Fire Protection District,178,15276,incorporatedplace
289,87277,53987,TN,Loudon County Fire & Rescue,177,46857,minorcivildivision
290,92946,TK602,TX,Randall County Fire-Rescue,176,39642,minorcivildivision
291,76250,01001,MT,Butte-Silver Bow,175,33471,minorcivildivision
292,76524,0042,OR,Canby Fire District 62,175,14166,incorporatedplace
293,83793,14002,NE,Hastings Fire Department,175,19083,incorporatedplace
294,97637,42232,SC,Una Community Fire Department,175,230,unincorporatedplace
295,98611,01851,NV,Washoe Valley Volunteer Fire Department (part of West Region),175,30877,minorcivildivision
296,77575,13005,CA,City of Brawley Fire Department,175,5819,incorporatedplace
297,90729,07160,NJ,Nutley Fire Deaprtment,175,30964,minorcivildivision
298,91304,74304,MN,Owatonna Fire Department,174,4707,incorporatedplace
299,90556,37D21,WA,North Whatcom Fire and Rescue,174,37549,minorcivildivision
300,78538,06312,MI,Commerce Township Fire Department,174,8318,minorcivildivision
301,96517,18035,CA,Susanville Fire Department,174,6937,incorporatedplace
